alpha,costWeight,priorSigma,time,partnerID,prediction
11,7,1,2,1,-0.2881210042787892
11,7,1,3,1,-1.4246392060091377
11,7,1,4,1,-6.364306947257013
11,7,1,5,2,-0.02399302959889836
11,7,1,6,2,-1.463283781840957
11,7,1,7,2,-2.8698285482317765
11,7,1,8,2,-6.600632450505113
11,7,1,9,3,-0.5872642233864801
11,7,1,10,3,-2.644612303864232
11,7,1,11,3,-7.216087730143466
11,7,1,12,3,-6.969746542157756
11,7,1,14,4,-1.5246299890936257
11,7,1,1,1,-0.1308852443992379
11,7,1,2,1,-0.36003051012256304
11,7,1,3,1,-1.19318969824133
11,7,1,4,1,-2.4571711222703527
11,7,1,5,2,-0.026997635256421414
11,7,1,6,2,-0.4856382326459432
11,7,1,7,2,-1.5611179125907615
11,7,1,8,2,-6.219003564820968
11,7,1,9,3,-0.19213747394561417
11,7,1,10,3,-1.5639994128637404
11,7,1,11,3,-2.6397769677935603
11,7,1,12,3,-6.21885832088496
11,7,1,14,4,-1.483346635050431
11,7,1,1,1,-0.2516906314875875
11,7,1,2,1,-0.48852950348212687
11,7,1,3,1,-1.4853762128217483
11,7,1,4,1,-6.314180561062727
11,7,1,5,2,-0.01582580360813779
11,7,1,6,2,-1.148133008177453
11,7,1,7,2,-2.6950322809608807
11,7,1,8,2,-6.388729712466482
11,7,1,9,3,-0.4206288659450337
11,7,1,10,3,-9.640744299397754
11,7,1,11,3,-9.599777668802748
11,7,1,12,3,-10.027604442763499
11,7,1,14,4,-2.5995814518793807
11,7,1,1,1,-0.34625012364341146
11,7,1,2,1,-12.213591965364609
11,7,1,3,1,-12.119095708052653
11,7,1,4,1,-11.445354442946348
11,7,1,5,2,-0.3037742802498471
11,7,1,6,2,-11.83578247355816
11,7,1,7,2,-11.550994636455505
11,7,1,8,2,-11.18301140734633
11,7,1,9,3,-4.135624916426682
11,7,1,10,3,-11.921781931691788
11,7,1,11,3,-11.471216610168133
11,7,1,12,3,-10.527223139598505
11,7,1,14,4,-5.93686620097845
11,7,1,1,1,-0.045881181027507226
11,7,1,2,1,-0.41176322185027203
11,7,1,3,1,-1.9324222526452441
11,7,1,4,1,-6.3186620108843545
11,7,1,5,2,-0.1472546949889662
11,7,1,6,2,-0.6256878689930723
11,7,1,7,2,-2.0702361900281154
11,7,1,8,2,-6.58166492758
11,7,1,9,3,-0.7793506931475989
11,7,1,10,3,-1.914452789233838
11,7,1,11,3,-6.817662189007276
11,7,1,12,3,-7.08017318835345
11,7,1,14,4,-2.384755430107681
11,7,1,1,1,-0.04175439358910541
11,7,1,2,1,-0.5228865766492596
11,7,1,3,1,-6.7203870333152125
11,7,1,4,1,-7.276018256485768
11,7,1,5,2,-0.02529786339989923
11,7,1,6,2,-1.3149503609511264
11,7,1,7,2,-6.96289530821603
11,7,1,8,2,-7.012196879515683
11,7,1,9,3,-1.1671720949885191
11,7,1,10,3,-10.124400086490002
11,7,1,11,3,-10.3105656162137
11,7,1,12,3,-10.650426709195413
11,7,1,14,4,-4.014132250177479
11,7,1,1,1,-0.029640709189230546
11,7,1,2,1,-0.31686140129166074
11,7,1,3,1,-1.0353770059839214
11,7,1,4,1,-6.331806817239448
11,7,1,5,2,-0.3166007530727483
11,7,1,6,2,-0.8235929959636508
11,7,1,7,2,-6.696493659961099
11,7,1,8,2,-7.464825128564149
11,7,1,9,3,-0.7428883970328428
11,7,1,10,3,-2.4095845767216844
11,7,1,11,3,-7.013075242308613
11,7,1,12,3,-6.995842585995028
11,7,1,14,4,-2.9541158082065415
11,7,1,1,1,-0.11638494866197392
11,7,1,2,1,-0.3579735369551606
11,7,1,3,1,-1.4626910281889831
11,7,1,4,1,-6.405740137548504
11,7,1,5,2,-0.1122278654234137
11,7,1,6,2,-0.924723022343926
11,7,1,7,2,-2.1095262464942817
11,7,1,8,2,-6.445958659152788
11,7,1,9,3,-0.7514743780658755
11,7,1,10,3,-1.9707386986806998
11,7,1,11,3,-6.914544667013017
11,7,1,12,3,-7.302022650653424
11,7,1,14,4,-2.5473140436810837
11,7,1,1,1,-0.5034812706036362
11,7,1,2,1,-0.30894152620986765
11,7,1,3,1,-6.5520872264299985
11,7,1,4,1,-7.231986389662259
11,7,1,5,2,-0.07511084207940395
11,7,1,6,2,-1.4661819663167108
11,7,1,7,2,-6.893078870313529
11,7,1,8,2,-7.388097304596563
11,7,1,9,3,-1.476291298539806
11,7,1,10,3,-3.3003782636221466
11,7,1,11,3,-6.505303276089705
11,7,1,12,3,-7.226656142200724
11,7,1,14,4,-2.9446592373389677
11,7,1,1,1,-0.09422914116931841
11,7,1,2,1,-0.38372944392891023
11,7,1,3,1,-1.3844532036588788
11,7,1,4,1,-2.3083703935705095
11,7,1,5,2,-0.012599430336813055
11,7,1,6,2,-0.6893189911060417
11,7,1,7,2,-6.935053371759544
11,7,1,8,2,-7.070136601148452
11,7,1,9,3,-0.6174962775787306
11,7,1,10,3,-1.9909989030757043
11,7,1,11,3,-3.7305125198925158
11,7,1,12,3,-6.64879273762574
11,7,1,14,4,-1.0013149218428978
11,7,1,1,1,-0.1262441158078893
11,7,1,2,1,-11.834199778840945
11,7,1,3,1,-12.143983844819381
11,7,1,4,1,-11.420022862691344
11,7,1,5,2,-0.5741841428862031
11,7,1,6,2,-11.629222417828514
11,7,1,7,2,-11.651348529847473
11,7,1,8,2,-10.927748225702993
11,7,1,9,3,-3.295937753542301
11,7,1,10,3,-10.65276478428618
11,7,1,11,3,-11.792315675806883
11,7,1,12,3,-11.325142326160377
11,7,1,14,4,-6.63951868136002
11,7,1,1,1,-0.14057371817777306
11,7,1,2,1,-0.35808941985762743
11,7,1,3,1,-6.8187878340576145
11,7,1,4,1,-7.3054535299187755
11,7,1,5,2,-0.5649874192324376
11,7,1,6,2,-0.9210553800504826
11,7,1,7,2,-1.1331776688820092
11,7,1,8,2,-3.0601786847802366
11,7,1,9,3,-0.21585674083987522
11,7,1,10,3,-2.609800936260859
11,7,1,11,3,-6.95956861339814
11,7,1,12,3,-7.220045810439956
11,7,1,14,4,-1.7180825217625078
11,7,1,1,1,-0.18101696136008275
11,7,1,2,1,-0.28104641503426464
11,7,1,3,1,-1.8030860063793437
11,7,1,4,1,-2.51145427353414
11,7,1,5,2,-0.22953847539946887
11,7,1,6,2,-0.8159171425942269
11,7,1,7,2,-6.415237378808909
11,7,1,8,2,-7.222946194785134
11,7,1,9,3,-0.24941518055522496
11,7,1,10,3,-1.5720058949637377
11,7,1,11,3,-6.922264493148663
11,7,1,12,3,-7.253563444317404
11,7,1,14,4,-2.0889618512270296
11,7,1,1,1,-0.10659677558313876
11,7,1,2,1,-0.24741448947234437
11,7,1,3,1,-1.3819276409432248
11,7,1,4,1,-6.2716346345463805
11,7,1,5,2,-0.0557526104855484
11,7,1,6,2,-1.2894898665360621
11,7,1,7,2,-7.079675383443213
11,7,1,8,2,-7.509231654048355
11,7,1,9,3,-1.0093720713116099
11,7,1,10,3,-10.056011168624023
11,7,1,11,3,-9.66178940329762
11,7,1,12,3,-9.704380505718298
11,7,1,14,4,-3.662883978279851
11,7,1,1,1,-0.07985869333618464
11,7,1,2,1,-0.21833713485386855
11,7,1,3,1,-1.1406748267353883
11,7,1,4,1,-1.9548650370023406
11,7,1,5,2,-0.11719015569777018
11,7,1,6,2,-0.9621572930021465
11,7,1,7,2,-1.972767327216621
11,7,1,8,2,-2.3420788915625117
11,7,1,9,3,-0.9877442046176981
11,7,1,10,3,-2.210359643720972
11,7,1,11,3,-6.684266619300367
11,7,1,12,3,-7.353752571879491
11,7,1,14,4,-1.6683167262784906
11,7,1,1,1,-0.1350060686780133
11,7,1,2,1,-0.29176937352733734
11,7,1,3,1,-1.7382635721264972
11,7,1,4,1,-2.2202585313346574
11,7,1,5,2,-0.03577636301863402
11,7,1,6,2,-0.9177224206701915
11,7,1,7,2,-6.90086758960693
11,7,1,8,2,-7.171248202244296
11,7,1,9,3,-0.6404486139082904
11,7,1,10,3,-2.05790282619307
11,7,1,11,3,-6.849900903663187
11,7,1,12,3,-7.360648412284251
11,7,1,14,4,-1.6001215817769534
