role,bonus,repid,roomid,target,content,trialnum,networkid,stimsetid,partnernum,participantid
speaker,0.6,1,3,tangram_I.png,the one lifting a leg behind them,4,1,2,1,1
speaker,0.63,1,3,tangram_K.png,kneeling and praying,5,1,2,1,1
listener,0.66,1,3,tangram_J.png,doing well. whatcha got?,6,1,2,1,3
speaker,0.66,1,3,tangram_J.png,the one pointing to the right with a square shaped body,6,1,2,1,1
listener,0.69,1,3,tangram_H.png,dude sitting with arms to the side?,7,1,2,1,3
speaker,0.69,1,3,tangram_H.png,the one sitting down,7,1,2,1,1
speaker,0.72,2,3,tangram_I.png,ive got the guy kicking behind him,8,1,2,1,3
speaker,0.75,2,3,tangram_K.png,got the prayer person,9,1,2,1,3
speaker,0.78,2,3,tangram_J.png,"got the standing pointing fella, boxman",10,1,2,1,3
speaker,0.81,2,3,tangram_H.png,sitting guy,11,1,2,1,3
speaker,0.84,3,3,tangram_J.png,I got the square one pointing to the right,12,1,2,1,1
listener,0.87,3,3,tangram_K.png,"nice, we're doing well",13,1,2,1,3
speaker,0.87,3,3,tangram_K.png,the kneeling and praying one,13,1,2,1,1
speaker,0.9,3,3,tangram_H.png,the sitting one,14,1,2,1,1
listener,0.93,3,3,tangram_I.png,kicker?,15,1,2,1,3
speaker,0.93,3,3,tangram_I.png,the leg kicker,15,1,2,1,1
speaker,0.96,0,4,tangram_H.png,"yo, ive got the guy sitting down arms to the side NOT praying",0,1,2,2,3
speaker,0.99,0,4,tangram_J.png,"nice, now ive got the boxy guy standing up pointing to the right NOT kicking",1,1,2,2,3
speaker,1.02,0,4,tangram_K.png,"sweet doing well, got the guy doing a prayer",2,1,2,2,3
speaker,1.05,0,4,tangram_I.png,now karate homeboy,3,1,2,2,3
listener,1.08,1,4,tangram_J.png,aight whatcha got?,4,1,2,2,3
speaker,1.08,1,4,tangram_J.png,Boxy guy,4,1,2,2,4
listener,1.11,1,4,tangram_H.png,dope,5,1,2,2,3
speaker,1.11,1,4,tangram_H.png,Man sitting,5,1,2,2,4
listener,1.14,1,4,tangram_K.png,we on it,6,1,2,2,3
speaker,1.14,1,4,tangram_K.png,Guy praying,6,1,2,2,4
listener,1.17,1,4,tangram_I.png,4 cents all day baby,7,1,2,2,3
speaker,1.17,1,4,tangram_I.png,Karate guy lol,7,1,2,2,4
speaker,1.2,2,4,tangram_H.png,got the dude sitting,8,1,2,2,3
speaker,1.23,2,4,tangram_K.png,got the prayer man,9,1,2,2,3
speaker,1.26,2,4,tangram_I.png,karateeeeee,10,1,2,2,3
speaker,1.29,2,4,tangram_J.png,boxy brown,11,1,2,2,3
listener,1.32,3,4,tangram_K.png,you got it killa,12,1,2,2,3
speaker,1.32,3,4,tangram_K.png,Guy praying,12,1,2,2,4
speaker,1.35,3,4,tangram_I.png,Karate guy,13,1,2,2,4
speaker,1.38,3,4,tangram_J.png,Boxy guy,14,1,2,2,4
speaker,1.41,3,4,tangram_H.png,Guy sitting,15,1,2,2,4
listener,1.41,3,4,tangram_H.png,you on it,15,1,2,2,3
speaker,0.96,0,5,tangram_J.png,the one with a square body and a jagged right edge,0,1,2,2,1
speaker,0.99,0,5,tangram_I.png,the one kicking a leg behind them,1,1,2,2,1
speaker,1.02,0,5,tangram_H.png,the one that looks like it's sitting down,2,1,2,2,1
speaker,1.05,0,5,tangram_K.png,the one kneeling and praying,3,1,2,2,1
speaker,1.08,1,5,tangram_I.png,Person kicking,4,1,2,2,2
speaker,1.11,1,5,tangram_K.png,person praying,5,1,2,2,2
speaker,1.14,1,5,tangram_J.png,jagged edge,6,1,2,2,2
speaker,1.17,1,5,tangram_H.png,person sitting,7,1,2,2,2
speaker,1.2,2,5,tangram_I.png,the kicking one,8,1,2,2,1
speaker,1.23,2,5,tangram_H.png,the sitting one,9,1,2,2,1
speaker,1.26,2,5,tangram_K.png,the kneeling and praying one,10,1,2,2,1
speaker,1.29,2,5,tangram_J.png,the jagged edge one,11,1,2,2,1
speaker,1.32,3,5,tangram_H.png,sitting,12,1,2,2,2
speaker,1.35,3,5,tangram_J.png,jagged,13,1,2,2,2
speaker,1.38,3,5,tangram_I.png,kicking,14,1,2,2,2
speaker,1.41,3,5,tangram_K.png,praying,15,1,2,2,2
speaker,0,0,0,tangram_L.png,diamond head facing right,0,2,1,0,5
speaker,0,0,0,tangram_G.png,facing left gap at bottom right,1,2,1,0,5
speaker,0.03,0,0,tangram_E.png,facing right sitting down no gap,2,2,1,0,5
speaker,0.06,0,0,tangram_F.png,facing left sitting down gap on left,3,2,1,0,5
speaker,0.09,1,0,tangram_L.png,"standing up, squatting with diamond straight ",4,2,1,0,7
speaker,0.12,1,0,tangram_F.png,sitting down gap at left ,5,2,1,0,7
speaker,0.15,1,0,tangram_E.png,"shapes on top of the diamond, no gaps",6,2,1,0,7
speaker,0.18,1,0,tangram_G.png,"looks like dancing, gap on right ",7,2,1,0,7
speaker,0.21,2,0,tangram_L.png,Squating one facing right,8,2,1,0,5
speaker,0.24,2,0,tangram_E.png,sitting down no gap,9,2,1,0,5
speaker,0.27,2,0,tangram_F.png,sitting down facing left gap on left,10,2,1,0,5
speaker,0.3,2,0,tangram_G.png,dancing one gap on right,11,2,1,0,5
speaker,0.33,3,0,tangram_F.png,sitting down gap on left,12,2,1,0,7
speaker,0.36,3,0,tangram_G.png,"dancing, gap on right",13,2,1,0,7
speaker,0.39,3,0,tangram_L.png,squatting diamond straight up,14,2,1,0,7
speaker,0.42,3,0,tangram_E.png,"sitting, shapes on the head",15,2,1,0,7
speaker,0,0,1,tangram_F.png,bald man sitting down looking at his feet,0,2,1,0,6
speaker,0.03,0,1,tangram_G.png,triangle tail on the side towards the bottom,1,2,1,0,6
speaker,0.06,0,1,tangram_E.png,bunny rabbit ears,2,2,1,0,6
speaker,0.09,0,1,tangram_L.png,man kneeling down reading a book,3,2,1,0,6
speaker,0.12,1,1,tangram_E.png,bunny ears sitting down,4,2,1,0,8
speaker,0.15,1,1,tangram_F.png,man sitting down looking at his feet,5,2,1,0,8
speaker,0.18,1,1,tangram_L.png,man kneeling with something in his hands,6,2,1,0,8
speaker,0.21,1,1,tangram_G.png,person sitting with triangle tail,7,2,1,0,8
speaker,0.24,2,1,tangram_L.png,man kneeling reading a book,8,2,1,0,6
speaker,0.27,2,1,tangram_G.png,triangle tail on the side,9,2,1,0,6
speaker,0.3,2,1,tangram_E.png,bunny ears,10,2,1,0,6
speaker,0.33,2,1,tangram_F.png,bald man sitting down looking at his feet,11,2,1,0,6
speaker,0.36,3,1,tangram_E.png,bunny ears,12,2,1,0,8
speaker,0.39,3,1,tangram_L.png,kneeling with book,13,2,1,0,8
speaker,0.42,3,1,tangram_G.png,triangle tail,14,2,1,0,8
speaker,0.45,3,1,tangram_F.png,looking at feet,15,2,1,0,8
speaker,0.48,0,2,tangram_E.png,bunny ears,0,2,1,1,6
speaker,0.51,0,2,tangram_F.png,bland man looking at feet,1,2,1,1,6
speaker,0.51,0,2,tangram_L.png,man kneeling reading a book,2,2,1,1,6
speaker,0.54,0,2,tangram_G.png,triangle tail,3,2,1,1,6
speaker,0.54,1,2,tangram_L.png,man kneeling looking at book,4,2,1,1,5
speaker,0.57,1,2,tangram_G.png,triangle tail,5,2,1,1,5
speaker,0.6,1,2,tangram_E.png,bunny ears,6,2,1,1,5
speaker,0.63,1,2,tangram_F.png,guy sitting facing left,7,2,1,1,5
speaker,0.63,1,2,tangram_F.png,bland one,7,2,1,1,5
speaker,0.69,2,2,tangram_L.png,kneeling reading book,8,2,1,1,6
speaker,0.72,2,2,tangram_F.png,looking at feet no ears,9,2,1,1,6
speaker,0.75,2,2,tangram_G.png,triangle tail,10,2,1,1,6
speaker,0.78,2,2,tangram_E.png,bunny ears,11,2,1,1,6
speaker,0.78,3,2,tangram_L.png,kneeling reading a book,12,2,1,1,5
speaker,0.81,3,2,tangram_E.png,bunny ears,13,2,1,1,5
speaker,0.84,3,2,tangram_F.png,sitting looking at feet no ears,14,2,1,1,5
speaker,0.87,3,2,tangram_G.png,triangle tail,15,2,1,1,5
speaker,0.48,0,3,tangram_L.png,person kneeling with a book in their hands,0,2,1,1,8
speaker,0.51,0,3,tangram_G.png,person sitting with a small triangle tail on their right,1,2,1,1,8
speaker,0.54,0,3,tangram_F.png,bald man sitting looking at his feet,2,2,1,1,8
speaker,0.57,0,3,tangram_E.png,person with bunny ears,3,2,1,1,8
speaker,0.57,1,3,tangram_L.png,squatting with diamond head ,4,2,1,1,7
speaker,0.6,1,3,tangram_E.png,"sitting with shapes on the head, bunny ears",5,2,1,1,7
speaker,0.63,1,3,tangram_F.png,sitting down with a gap between legs and ground on the right,6,2,1,1,7
speaker,0.63,1,3,tangram_G.png,dancing with a triangle tail,7,2,1,1,7
speaker,0.69,2,3,tangram_L.png,person squatting,8,2,1,1,8
speaker,0.72,2,3,tangram_F.png,person sitting looking at their feet,9,2,1,1,8
speaker,0.75,2,3,tangram_G.png,person with triangle tail on the right,10,2,1,1,8
speaker,0.78,2,3,tangram_E.png,sitting person with bunny ears,11,2,1,1,8
speaker,0.78,3,3,tangram_F.png,sitting down with gap on the left,12,2,1,1,7
speaker,0.81,3,3,tangram_L.png,squatting with diamond head,13,2,1,1,7
speaker,0.84,3,3,tangram_G.png,dancing with triangle tail,14,2,1,1,7
speaker,0.87,3,3,tangram_E.png,sitting with bunny ears,15,2,1,1,7
speaker,0.9,0,4,tangram_L.png,man squatting facing right nothing on head,0,2,1,2,5
speaker,0.93,0,4,tangram_G.png,man that looks like hes dancing gap on bottom right,1,2,1,2,5
speaker,0.96,0,4,tangram_F.png,man sitting facing left no thing on head,2,2,1,2,5
speaker,0.99,0,4,tangram_E.png,man sitting facing right ,3,2,1,2,5
speaker,1.05,1,4,tangram_L.png,person squatting with something in their hands,4,2,1,2,8
speaker,1.08,1,4,tangram_G.png,dancing person with a triangle tail on the right,5,2,1,2,8
speaker,1.11,1,4,tangram_F.png,man sitting towards the left looking at his feet,6,2,1,2,8
listener,1.08,1,4,tangram_F.png,triangles on his head?,6,2,1,2,5
speaker,1.11,1,4,tangram_F.png,no,6,2,1,2,8
speaker,1.14,1,4,tangram_E.png,person sitting with triangle bunny ears,7,2,1,2,8
speaker,1.14,2,4,tangram_G.png,man dancing with tail on bottom right,8,2,1,2,5
speaker,1.17,2,4,tangram_E.png,man sitting with triangle bunny ears,9,2,1,2,5
speaker,1.2,2,4,tangram_F.png,man sitting looking at feet,10,2,1,2,5
speaker,1.23,2,4,tangram_L.png,man squatting holding something,11,2,1,2,5
speaker,1.29,3,4,tangram_G.png,dancing with triangle tail,12,2,1,2,8
speaker,1.32,3,4,tangram_L.png,squatting with something in hands,13,2,1,2,8
speaker,1.35,3,4,tangram_E.png,sitting with bunny ears,14,2,1,2,8
speaker,1.38,3,4,tangram_F.png,sitting looking at feet,15,2,1,2,8
speaker,0.93,0,5,tangram_F.png,bald guy looking at feet,0,2,1,2,6
speaker,0.96,0,5,tangram_L.png,kneeling reading a book,1,2,1,2,6
speaker,0.99,0,5,tangram_G.png,triangle tail,2,2,1,2,6
speaker,1.02,0,5,tangram_E.png,bunny ears,3,2,1,2,6
speaker,1.02,1,5,tangram_F.png,sitting down gap on left,4,2,1,2,7
speaker,1.05,1,5,tangram_E.png,bunny ears,5,2,1,2,7
speaker,1.08,1,5,tangram_L.png,kneeling with diamond head,6,2,1,2,7
speaker,1.08,1,5,tangram_G.png,dancing with triangle on bottom right,7,2,1,2,7
speaker,1.14,2,5,tangram_F.png,"guy looking at feet, bald",8,2,1,2,6
speaker,1.17,2,5,tangram_E.png,bunny ears,9,2,1,2,6
speaker,1.2,2,5,tangram_L.png,kneeling reading a book,10,2,1,2,6
speaker,1.23,2,5,tangram_G.png,triangle tail,11,2,1,2,6
speaker,1.23,3,5,tangram_F.png,sitting down facing left,12,2,1,2,7
speaker,1.26,3,5,tangram_G.png,dancing with triangle tail,13,2,1,2,7
speaker,1.29,3,5,tangram_E.png,bunny ears,14,2,1,2,7
speaker,1.32,3,5,tangram_L.png,kneeling ,15,2,1,2,7
speaker,0,0,0,tangram_D.png,straight,0,3,0,0,12
speaker,0.03,0,0,tangram_A.png,leg up,1,3,0,0,12
speaker,0.06,0,0,tangram_C.png,falling back,2,3,0,0,12
speaker,0.09,0,0,tangram_B.png,triangles on opposite ends,3,3,0,0,12
speaker,0.12,1,0,tangram_D.png,offering a tray,4,3,0,0,9
speaker,0.12,1,0,tangram_B.png,sit down,5,3,0,0,9
speaker,0.15,1,0,tangram_C.png,falling backwards,6,3,0,0,9
speaker,0.18,1,0,tangram_A.png,leg up,7,3,0,0,9
speaker,0.21,2,0,tangram_D.png,offering a tray,8,3,0,0,12
speaker,0.24,2,0,tangram_A.png,leg up,9,3,0,0,12
speaker,0.27,2,0,tangram_C.png,falling back,10,3,0,0,12
speaker,0.3,2,0,tangram_B.png,sitting,11,3,0,0,12
speaker,0.33,3,0,tangram_C.png,falling back,12,3,0,0,9
speaker,0.36,3,0,tangram_B.png,sitting,13,3,0,0,9
speaker,0.39,3,0,tangram_A.png,leg up,14,3,0,0,9
speaker,0.42,3,0,tangram_D.png,offering,15,3,0,0,9
speaker,0,0,1,tangram_C.png,It is the one that looks like it's flying.,0,3,0,0,11
speaker,0.03,0,1,tangram_A.png,It looks like a monster kicking something.,1,3,0,0,11
speaker,0.06,0,1,tangram_D.png,It looks like a preacher standing straight holding a book,2,3,0,0,11
speaker,0.09,0,1,tangram_B.png,It looks like a person kneeling with triangle arms.,3,3,0,0,11
speaker,0.12,1,1,tangram_C.png,Looks like flying man,4,3,0,0,10
speaker,0.15,1,1,tangram_D.png,Preacher with book,5,3,0,0,10
speaker,0.18,1,1,tangram_A.png,monster kicking,6,3,0,0,10
speaker,0.21,1,1,tangram_B.png,man with triangle arms,7,3,0,0,10
speaker,0.24,2,1,tangram_A.png,kicking monster,8,3,0,0,11
speaker,0.27,2,1,tangram_C.png,flying guy,9,3,0,0,11
speaker,0.3,2,1,tangram_D.png,preacher with the book,10,3,0,0,11
speaker,0.33,2,1,tangram_B.png,kneeling triangle man,11,3,0,0,11
speaker,0.36,3,1,tangram_A.png,monster kicking,12,3,0,0,10
speaker,0.39,3,1,tangram_D.png,preacher with book,13,3,0,0,10
speaker,0.42,3,1,tangram_B.png,man with triangle arms,14,3,0,0,10
speaker,0.45,3,1,tangram_C.png,flying man,15,3,0,0,10
speaker,0.48,0,2,tangram_C.png,Looks like a man flying,0,3,0,1,11
speaker,0.48,0,2,tangram_B.png,Looks like a man kneeling with triangle arms.,1,3,0,1,11
speaker,0.51,0,2,tangram_D.png,looks like a preacher standing with a book,2,3,0,1,11
speaker,0.54,0,2,tangram_A.png,looks like a monster kicking the ground,3,3,0,1,11
speaker,0.54,1,2,tangram_D.png,preacher offering,4,3,0,1,12
speaker,0.57,1,2,tangram_C.png,man falling back,5,3,0,1,12
speaker,0.6,1,2,tangram_B.png,man kneeling,6,3,0,1,12
speaker,0.63,1,2,tangram_A.png,leg up,7,3,0,1,12
speaker,0.69,2,2,tangram_C.png,The flying or falling man,8,3,0,1,11
speaker,0.72,2,2,tangram_D.png,the preacher with the book,9,3,0,1,11
speaker,0.75,2,2,tangram_B.png,the kneeling man,10,3,0,1,11
speaker,0.78,2,2,tangram_A.png,the monster with the leg up,11,3,0,1,11
speaker,0.78,3,2,tangram_C.png,man falling back,12,3,0,1,12
speaker,0.81,3,2,tangram_B.png,kneeling man,13,3,0,1,12
speaker,0.84,3,2,tangram_D.png,preacher offering,14,3,0,1,12
speaker,0.87,3,2,tangram_A.png,leg up,15,3,0,1,12
speaker,0.45,0,3,tangram_C.png,falling back,0,3,0,1,9
speaker,0.48,0,3,tangram_A.png,leg up,1,3,0,1,9
speaker,0.51,0,3,tangram_D.png,offering while standing,2,3,0,1,9
speaker,0.54,0,3,tangram_B.png,sitting,3,3,0,1,9
speaker,0.6,1,3,tangram_D.png,standing offering,4,3,0,1,10
speaker,0.63,1,3,tangram_B.png,sitting,5,3,0,1,10
speaker,0.66,1,3,tangram_C.png,falling back,6,3,0,1,10
speaker,0.69,1,3,tangram_A.png,with leg up,7,3,0,1,10
speaker,0.69,2,3,tangram_C.png,falling back,8,3,0,1,9
speaker,0.72,2,3,tangram_A.png,leg up,9,3,0,1,9
speaker,0.75,2,3,tangram_D.png,offering,10,3,0,1,9
speaker,0.78,2,3,tangram_B.png,sitting,11,3,0,1,9
speaker,0.84,3,3,tangram_C.png,falling,12,3,0,1,10
speaker,0.87,3,3,tangram_A.png,leg up,13,3,0,1,10
speaker,0.9,3,3,tangram_B.png,sitting,14,3,0,1,10
speaker,0.93,3,3,tangram_D.png,offering,15,3,0,1,10
speaker,0.9,0,4,tangram_D.png,preacher offering tray,0,3,0,2,12
speaker,0.93,0,4,tangram_A.png,leg up,1,3,0,2,12
speaker,0.96,0,4,tangram_B.png,kneeling man,2,3,0,2,12
speaker,0.99,0,4,tangram_C.png,man falling back,3,3,0,2,12
speaker,1.05,1,4,tangram_D.png,preacher,4,3,0,2,10
speaker,1.08,1,4,tangram_C.png,falling,5,3,0,2,10
speaker,1.11,1,4,tangram_B.png,kneeling,6,3,0,2,10
speaker,1.14,1,4,tangram_A.png,leg up,7,3,0,2,10
speaker,1.14,2,4,tangram_D.png,preacher,8,3,0,2,12
speaker,1.17,2,4,tangram_A.png,leg up,9,3,0,2,12
speaker,1.2,2,4,tangram_B.png,kneeling,10,3,0,2,12
speaker,1.23,2,4,tangram_C.png,falling,11,3,0,2,12
speaker,1.29,3,4,tangram_D.png,preacher,12,3,0,2,10
speaker,1.32,3,4,tangram_A.png,leg up,13,3,0,2,10
speaker,1.35,3,4,tangram_C.png,falling,14,3,0,2,10
speaker,1.38,3,4,tangram_B.png,kneeling,15,3,0,2,10
speaker,0.93,0,5,tangram_B.png,The man kneeling,0,3,0,2,11
speaker,0.96,0,5,tangram_A.png,The one that looks like a monster kicking the ground,1,3,0,2,11
speaker,0.99,0,5,tangram_D.png,looks like a preacher holding a book,2,3,0,2,11
speaker,1.02,0,5,tangram_C.png,a man either falling or flying,3,3,0,2,11
speaker,1.02,1,5,tangram_D.png,"offering a tray, standing",4,3,0,2,9
speaker,1.05,1,5,tangram_C.png,falling,5,3,0,2,9
speaker,1.08,1,5,tangram_B.png,kneeling,6,3,0,2,9
speaker,1.11,1,5,tangram_A.png,kicking,7,3,0,2,9
speaker,1.17,2,5,tangram_C.png,the falling one,8,3,0,2,11
speaker,1.2,2,5,tangram_A.png,kicking monster,9,3,0,2,11
speaker,1.23,2,5,tangram_B.png,kneeling one,10,3,0,2,11
speaker,1.26,2,5,tangram_D.png,standing preacher,11,3,0,2,11
speaker,1.26,3,5,tangram_B.png,kneeling,12,3,0,2,9
speaker,1.29,3,5,tangram_C.png,falling,13,3,0,2,9
speaker,1.32,3,5,tangram_A.png,kicking,14,3,0,2,9
speaker,1.35,3,5,tangram_D.png,offering,15,3,0,2,9
listener,0,0,0,tangram_I.png,hi,0,4,2,0,15
speaker,0,0,0,tangram_I.png,one leg is up. look like a dancing position,0,4,2,0,13
speaker,0.03,0,0,tangram_H.png,both hand and legs are covered and nil down,1,4,2,0,13
speaker,0.06,0,0,tangram_K.png,nil down and begging position ,2,4,2,0,13
speaker,0.09,0,0,tangram_J.png,standing position one hand is up,3,4,2,0,13
speaker,0.12,1,0,tangram_H.png,looks like they are sitting with hands and feet inside,4,4,2,0,15
speaker,0.15,1,0,tangram_J.png,looks like they are sitting and pointing,5,4,2,0,15
speaker,0.15,1,0,tangram_K.png,like they are begging,6,4,2,0,15
speaker,0.18,1,0,tangram_I.png,like they are dancing,7,4,2,0,15
speaker,0.21,2,0,tangram_K.png,begging position,8,4,2,0,13
speaker,0.21,2,0,tangram_K.png,and nil down,8,4,2,0,13
speaker,0.24,2,0,tangram_J.png,standing position one hand is up,9,4,2,0,13
speaker,0.27,2,0,tangram_I.png,dancing position,10,4,2,0,13
speaker,0.3,2,0,tangram_H.png,nil down legs and hands are inside,11,4,2,0,13
speaker,0.33,3,0,tangram_J.png,standing and pointing,12,4,2,0,15
speaker,0.36,3,0,tangram_I.png,dancing,13,4,2,0,15
speaker,0.39,3,0,tangram_H.png,feet and hands all in ,14,4,2,0,15
speaker,0.42,3,0,tangram_K.png,begging,15,4,2,0,15
speaker,0,0,1,tangram_I.png,the one that looks like it's standing on a leg,0,4,2,0,14
speaker,0.03,0,1,tangram_H.png,the one that looks like it's sitting crouched down,1,4,2,0,14
speaker,0.03,0,1,tangram_J.png,the one that has a more square body,2,4,2,0,14
speaker,0.06,0,1,tangram_K.png,the sitting one with the spike coming out of its back,3,4,2,0,14
speaker,0.09,1,1,tangram_H.png,like sitting on the left,4,4,2,0,16
speaker,0.12,1,1,tangram_K.png,Like praying,5,4,2,0,16
speaker,0.12,1,1,tangram_J.png,Second from left,6,4,2,0,16
speaker,0.15,1,1,tangram_I.png,stretching leg,7,4,2,0,16
speaker,0.18,2,1,tangram_K.png,Sitting with a spike out its back,8,4,2,0,14
speaker,0.21,2,1,tangram_I.png,Stretching a leg,9,4,2,0,14
speaker,0.24,2,1,tangram_H.png,Sitting balled up,10,4,2,0,14
speaker,0.24,2,1,tangram_J.png,The square looking well,11,4,2,0,14
speaker,0.27,3,1,tangram_K.png,sitting at spike in back,12,4,2,0,16
speaker,0.3,3,1,tangram_J.png,square one,13,4,2,0,16
speaker,0.33,3,1,tangram_I.png,dancing,14,4,2,0,16
speaker,0.36,3,1,tangram_H.png,siting and praying,15,4,2,0,16
speaker,0.45,0,2,tangram_J.png,looks like they are pointing,0,4,2,1,15
speaker,0.48,0,2,tangram_K.png,looks like begging,1,4,2,1,15
speaker,0.48,0,2,tangram_I.png,dancing,2,4,2,1,15
speaker,0.51,0,2,tangram_H.png,like they are sitting with hand and feet all in,3,4,2,1,15
speaker,0.48,1,2,tangram_I.png,stretching leg,4,4,2,1,14
speaker,0.51,1,2,tangram_H.png,The one that is sitting balled up,5,4,2,1,14
speaker,0.54,1,2,tangram_K.png,The one that looks like it's begging or praying,6,4,2,1,14
speaker,0.57,1,2,tangram_J.png,The half square one,7,4,2,1,14
speaker,0.66,2,2,tangram_K.png,praying,8,4,2,1,15
speaker,0.69,2,2,tangram_J.png,half square,9,4,2,1,15
speaker,0.72,2,2,tangram_I.png,dancing,10,4,2,1,15
speaker,0.75,2,2,tangram_H.png,all balled p,11,4,2,1,15
speaker,0.72,3,2,tangram_I.png,stretching one,12,4,2,1,14
speaker,0.75,3,2,tangram_K.png,praying one,13,4,2,1,14
speaker,0.78,3,2,tangram_H.png,balled up one,14,4,2,1,14
speaker,0.81,3,2,tangram_J.png,half square one,15,4,2,1,14
speaker,0.45,0,3,tangram_J.png,standing position ,0,4,2,1,13
speaker,0.48,0,3,tangram_I.png,dancing position,1,4,2,1,13
speaker,0.51,0,3,tangram_K.png,begging position,2,4,2,1,13
