bonus,roomid,trialnum,networkid,object_id,partnernum,stim_set_id,participantid,previously_interacted_with_neighbor_of_partner
0.03,1,1,2,target,0,1,8,FALSE
0.06,1,2,2,target,0,1,8,FALSE
0.09,1,3,2,target,0,1,8,FALSE
0.12,1,4,2,target,0,1,6,FALSE
0.15,1,5,2,target,0,1,6,FALSE
0.18,1,6,2,target,0,1,6,FALSE
0.21,1,7,2,target,0,1,6,FALSE
0.24,1,8,2,target,0,1,8,FALSE
0.27,1,9,2,target,0,1,8,FALSE
0.3,1,10,2,target,0,1,8,FALSE
0.33,1,11,2,target,0,1,8,FALSE
0.36,1,12,2,target,0,1,6,FALSE
0.39,1,13,2,target,0,1,6,FALSE
0.42,1,14,2,target,0,1,6,FALSE
0.45,1,15,2,target,0,1,6,FALSE
0.45,2,0,2,target,1,1,5,FALSE
0.48,2,1,2,distr2,1,1,5,FALSE
0.48,2,2,2,target,1,1,5,FALSE
0.51,2,3,2,target,1,1,5,FALSE
0.57,2,4,2,target,1,1,6,FALSE
0.6,2,5,2,target,1,1,6,FALSE
0.63,2,6,2,target,1,1,6,FALSE
0.66,2,7,2,target,1,1,6,FALSE
0.66,2,8,2,target,1,1,5,FALSE
0.69,2,9,2,target,1,1,5,FALSE
0.72,2,10,2,target,1,1,5,FALSE
0.75,2,11,2,target,1,1,5,FALSE
0.81,2,12,2,target,1,1,6,FALSE
0.84,2,13,2,target,1,1,6,FALSE
0.87,2,14,2,target,1,1,6,FALSE
0.9,2,15,2,target,1,1,6,FALSE
0.45,3,0,2,target,1,1,7,FALSE
0.48,3,1,2,target,1,1,7,FALSE
0.51,3,2,2,target,1,1,7,FALSE
0.54,3,3,2,target,1,1,7,FALSE
0.6,3,4,2,target,1,1,8,FALSE
0.63,3,5,2,target,1,1,8,FALSE
0.66,3,6,2,distr1,1,1,8,FALSE
0.66,3,7,2,target,1,1,8,FALSE
0.66,3,8,2,target,1,1,7,FALSE
0.69,3,9,2,target,1,1,7,FALSE
0.72,3,10,2,target,1,1,7,FALSE
0.75,3,11,2,target,1,1,7,FALSE
0.81,3,12,2,target,1,1,8,FALSE
0.84,3,13,2,target,1,1,8,FALSE
0.87,3,14,2,target,1,1,8,FALSE
0.9,3,15,2,target,1,1,8,FALSE
0.93,4,0,2,target,2,1,8,TRUE
0.96,4,1,2,target,2,1,8,TRUE
0.99,4,2,2,target,2,1,8,TRUE
1.02,4,3,2,target,2,1,8,TRUE
1.02,4,4,2,target,2,1,5,TRUE
1.05,4,5,2,target,2,1,5,TRUE
1.08,4,6,2,target,2,1,5,TRUE
1.11,4,7,2,target,2,1,5,TRUE
1.17,4,8,2,target,2,1,8,TRUE
1.2,4,9,2,target,2,1,8,TRUE
1.23,4,10,2,target,2,1,8,TRUE
1.26,4,11,2,target,2,1,8,TRUE
1.26,4,12,2,target,2,1,5,TRUE
1.29,4,13,2,target,2,1,5,TRUE
1.32,4,14,2,target,2,1,5,TRUE
1.35,4,15,2,target,2,1,5,TRUE
0.9,5,0,2,target,2,1,7,TRUE
0.93,5,1,2,target,2,1,7,TRUE
0.96,5,2,2,target,2,1,7,TRUE
0.99,5,3,2,target,2,1,7,TRUE
1.05,5,4,2,target,2,1,6,TRUE
1.08,5,5,2,target,2,1,6,TRUE
1.11,5,6,2,distr1,2,1,6,TRUE
1.11,5,7,2,target,2,1,6,TRUE
1.11,5,8,2,target,2,1,7,TRUE
1.14,5,9,2,target,2,1,7,TRUE
1.17,5,10,2,target,2,1,7,TRUE
1.2,5,11,2,target,2,1,7,TRUE
1.26,5,12,2,target,2,1,6,TRUE
1.29,5,13,2,target,2,1,6,TRUE
1.32,5,14,2,target,2,1,6,TRUE
1.35,5,15,2,target,2,1,6,TRUE
0.09,0,3,3,target,0,0,9,FALSE
0,0,0,3,target,0,0,9,FALSE
0.03,0,1,3,target,0,0,9,FALSE
0.06,0,2,3,target,0,0,9,FALSE
0.12,0,4,3,distr2,0,0,12,FALSE
0.12,0,5,3,target,0,0,12,FALSE
0.15,0,6,3,target,0,0,12,FALSE
0.18,0,7,3,target,0,0,12,FALSE
0.21,0,8,3,target,0,0,9,FALSE
0.24,0,9,3,target,0,0,9,FALSE
0.27,0,10,3,target,0,0,9,FALSE
0.3,0,11,3,target,0,0,9,FALSE
0.33,0,12,3,target,0,0,12,FALSE
0.36,0,13,3,target,0,0,12,FALSE
0.39,0,14,3,target,0,0,12,FALSE
0.42,0,15,3,target,0,0,12,FALSE
0,1,0,3,target,0,0,10,FALSE
0.03,1,1,3,target,0,0,10,FALSE
0.06,1,2,3,target,0,0,10,FALSE
0.09,1,3,3,target,0,0,10,FALSE
0.12,1,4,3,target,0,0,11,FALSE
0.15,1,5,3,target,0,0,11,FALSE
0.18,1,6,3,target,0,0,11,FALSE
0.21,1,7,3,target,0,0,11,FALSE
0.24,1,8,3,target,0,0,10,FALSE
0.27,1,9,3,target,0,0,10,FALSE
0.3,1,10,3,target,0,0,10,FALSE
0.33,1,11,3,target,0,0,10,FALSE
0.36,1,12,3,target,0,0,11,FALSE
0.39,1,13,3,target,0,0,11,FALSE
0.42,1,14,3,target,0,0,11,FALSE
0.45,1,15,3,target,0,0,11,FALSE
0.45,2,0,3,distr1,1,0,12,FALSE
0.45,2,1,3,target,1,0,12,FALSE
0.48,2,2,3,target,1,0,12,FALSE
0.51,2,3,3,target,1,0,12,FALSE
0.57,2,4,3,target,1,0,11,FALSE
0.6,2,5,3,target,1,0,11,FALSE
0.63,2,6,3,target,1,0,11,FALSE
0.66,2,7,3,target,1,0,11,FALSE
0.66,2,8,3,target,1,0,12,FALSE
0.69,2,9,3,target,1,0,12,FALSE
0.72,2,10,3,target,1,0,12,FALSE
0.75,2,11,3,target,1,0,12,FALSE
0.81,2,12,3,target,1,0,11,FALSE
0.84,2,13,3,target,1,0,11,FALSE
0.87,2,14,3,target,1,0,11,FALSE
0.9,2,15,3,target,1,0,11,FALSE
0.48,3,0,3,target,1,0,10,FALSE
0.51,3,1,3,target,1,0,10,FALSE
0.54,3,2,3,target,1,0,10,FALSE
0.57,3,3,3,target,1,0,10,FALSE
0.57,3,4,3,target,1,0,9,FALSE
0.6,3,5,3,target,1,0,9,FALSE
0.63,3,6,3,target,1,0,9,FALSE
0.66,3,7,3,target,1,0,9,FALSE
0.72,3,8,3,target,1,0,10,FALSE
0.75,3,9,3,target,1,0,10,FALSE
0.78,3,10,3,target,1,0,10,FALSE
0.81,3,11,3,target,1,0,10,FALSE
0.81,3,12,3,target,1,0,9,FALSE
0.84,3,13,3,target,1,0,9,FALSE
0.87,3,14,3,target,1,0,9,FALSE
0.9,3,15,3,distr1,1,0,9,FALSE
0.93,4,0,3,target,2,0,10,TRUE
0.96,4,1,3,target,2,0,10,TRUE
0.99,4,2,3,target,2,0,10,TRUE
1.02,4,3,3,target,2,0,10,TRUE
1.02,4,4,3,target,2,0,12,TRUE
1.05,4,5,3,target,2,0,12,TRUE
1.08,4,6,3,target,2,0,12,TRUE
1.11,4,7,3,target,2,0,12,TRUE
1.17,4,8,3,target,2,0,10,TRUE
1.2,4,9,3,target,2,0,10,TRUE
1.23,4,10,3,target,2,0,10,TRUE
1.26,4,11,3,target,2,0,10,TRUE
1.26,4,12,3,target,2,0,12,TRUE
1.29,4,13,3,target,2,0,12,TRUE
1.32,4,14,3,target,2,0,12,TRUE
1.35,4,15,3,target,2,0,12,TRUE
0.9,5,0,3,target,2,0,9,TRUE
0.93,5,1,3,target,2,0,9,TRUE
0.96,5,2,3,target,2,0,9,TRUE
0.99,5,3,3,target,2,0,9,TRUE
1.05,5,4,3,target,2,0,11,TRUE
1.08,5,5,3,target,2,0,11,TRUE
1.11,5,6,3,target,2,0,11,TRUE
1.14,5,7,3,target,2,0,11,TRUE
1.14,5,8,3,target,2,0,9,TRUE
1.17,5,9,3,target,2,0,9,TRUE
1.2,5,10,3,target,2,0,9,TRUE
1.23,5,11,3,target,2,0,9,TRUE
1.29,5,12,3,target,2,0,11,TRUE
1.32,5,13,3,target,2,0,11,TRUE
1.35,5,14,3,target,2,0,11,TRUE
1.38,5,15,3,target,2,0,11,TRUE
0,0,0,4,target,0,2,15,FALSE
0.03,0,1,4,target,0,2,15,FALSE
0.06,0,2,4,target,0,2,15,FALSE
0.09,0,3,4,target,0,2,15,FALSE
0.12,0,4,4,target,0,2,13,FALSE
0.15,0,5,4,distr1,0,2,13,FALSE
0.15,0,6,4,target,0,2,13,FALSE
0.18,0,7,4,target,0,2,13,FALSE
0.21,0,8,4,target,0,2,15,FALSE
0.24,0,9,4,target,0,2,15,FALSE
0.27,0,10,4,target,0,2,15,FALSE
0.3,0,11,4,target,0,2,15,FALSE
0.33,0,12,4,target,0,2,13,FALSE
0.36,0,13,4,target,0,2,13,FALSE
0.39,0,14,4,target,0,2,13,FALSE
0.42,0,15,4,target,0,2,13,FALSE
0,1,0,4,target,0,2,16,FALSE
0.03,1,1,4,distr0,0,2,16,FALSE
0.03,1,2,4,target,0,2,16,FALSE
0.06,1,3,4,target,0,2,16,FALSE
0.09,1,4,4,target,0,2,14,FALSE
0.12,1,5,4,distr0,0,2,14,FALSE
0.12,1,6,4,target,0,2,14,FALSE
0.15,1,7,4,target,0,2,14,FALSE
0.18,1,8,4,target,0,2,16,FALSE
0.21,1,9,4,target,0,2,16,FALSE
0.24,1,10,4,distr0,0,2,16,FALSE
0.24,1,11,4,target,0,2,16,FALSE
0.27,1,12,4,target,0,2,14,FALSE
0.3,1,13,4,target,0,2,14,FALSE
0.33,1,14,4,target,0,2,14,FALSE
0.36,1,15,4,target,0,2,14,FALSE
0.39,2,0,4,target,1,2,14,FALSE
0.42,2,1,4,distr2,1,2,14,FALSE
0.42,2,2,4,target,1,2,14,FALSE
0.45,2,3,4,target,1,2,14,FALSE
0.54,2,4,4,target,1,2,15,FALSE
0.57,2,5,4,target,1,2,15,FALSE
0.6,2,6,4,target,1,2,15,FALSE
0.63,2,7,4,target,1,2,15,FALSE
0.6,2,8,4,target,1,2,14,FALSE
0.63,2,9,4,target,1,2,14,FALSE
0.66,2,10,4,target,1,2,14,FALSE
0.69,2,11,4,target,1,2,14,FALSE
0.78,2,12,4,target,1,2,15,FALSE
0.81,2,13,4,target,1,2,15,FALSE
0.84,2,14,4,target,1,2,15,FALSE
0.87,2,15,4,target,1,2,15,FALSE
0.39,3,0,4,target,1,2,16,FALSE
0.42,3,1,4,target,1,2,16,FALSE
0.45,3,2,4,target,1,2,16,FALSE
0.48,3,3,4,target,1,2,16,FALSE
0.57,3,4,4,target,1,2,13,FALSE
0.6,3,5,4,target,1,2,13,FALSE
0.63,3,6,4,target,1,2,13,FALSE
0.66,3,7,4,target,1,2,13,FALSE
0.63,3,8,4,target,1,2,16,FALSE
0.66,3,9,4,target,1,2,16,FALSE
0.69,3,10,4,target,1,2,16,FALSE
0.72,3,11,4,target,1,2,16,FALSE
0.81,3,12,4,target,1,2,13,FALSE
0.84,3,13,4,target,1,2,13,FALSE
0.87,3,14,4,target,1,2,13,FALSE
0.9,3,15,4,target,1,2,13,FALSE
0.87,4,0,4,distr0,2,2,16,TRUE
0.87,4,1,4,distr1,2,2,16,TRUE
0.87,4,2,4,target,2,2,16,TRUE
0.9,4,3,4,target,2,2,16,TRUE
0.96,4,4,4,target,2,2,15,TRUE
0.99,4,5,4,target,2,2,15,TRUE
1.02,4,6,4,target,2,2,15,TRUE
1.05,4,7,4,target,2,2,15,TRUE
1.05,4,8,4,target,2,2,16,TRUE
1.08,4,9,4,target,2,2,16,TRUE
1.11,4,10,4,target,2,2,16,TRUE
1.14,4,11,4,target,2,2,16,TRUE
1.2,4,12,4,target,2,2,15,TRUE
1.23,4,13,4,target,2,2,15,TRUE
1.26,4,14,4,target,2,2,15,TRUE
1.29,4,15,4,target,2,2,15,TRUE
0.84,5,0,4,distr2,2,2,14,TRUE
0.84,5,1,4,target,2,2,14,TRUE
0.87,5,2,4,target,2,2,14,TRUE
0.9,5,3,4,target,2,2,14,TRUE
1.02,5,4,4,distr2,2,2,13,TRUE
1.02,5,5,4,target,2,2,13,TRUE
1.05,5,6,4,target,2,2,13,TRUE
1.08,5,7,4,target,2,2,13,TRUE
1.02,5,8,4,target,2,2,14,TRUE
1.05,5,9,4,target,2,2,14,TRUE
1.08,5,10,4,distr1,2,2,14,TRUE
1.08,5,11,4,target,2,2,14,TRUE
1.2,5,12,4,target,2,2,13,TRUE
1.23,5,13,4,target,2,2,13,TRUE
1.26,5,14,4,target,2,2,13,TRUE
1.29,5,15,4,target,2,2,13,TRUE
0,0,0,5,target,0,2,18,FALSE
0.03,0,1,5,target,0,2,18,FALSE
0.06,0,2,5,distr0,0,2,18,FALSE
0.06,0,3,5,target,0,2,18,FALSE
0.09,0,4,5,target,0,2,20,FALSE
0.12,0,5,5,target,0,2,20,FALSE
0.15,0,6,5,target,0,2,20,FALSE
0.18,0,7,5,target,0,2,20,FALSE
0.21,0,8,5,distr0,0,2,18,FALSE
0.21,0,9,5,target,0,2,18,FALSE
0.24,0,10,5,target,0,2,18,FALSE
0.27,0,11,5,distr0,0,2,18,FALSE
0.27,0,12,5,distr0,0,2,20,FALSE
0.27,0,13,5,target,0,2,20,FALSE
0.3,0,14,5,target,0,2,20,FALSE
0.33,0,15,5,target,0,2,20,FALSE
0,1,0,5,distr0,0,2,19,FALSE
0,1,1,5,target,0,2,19,FALSE
0.03,1,2,5,target,0,2,19,FALSE
0.06,1,3,5,distr1,0,2,19,FALSE
0.06,1,4,5,target,0,2,17,FALSE
0.09,1,5,5,distr1,0,2,17,FALSE
0.09,1,6,5,target,0,2,17,FALSE
0.12,1,7,5,target,0,2,17,FALSE
0.15,1,8,5,target,0,2,19,FALSE
0.18,1,9,5,target,0,2,19,FALSE
0.21,1,10,5,target,0,2,19,FALSE
0.24,1,11,5,target,0,2,19,FALSE
0.27,1,12,5,target,0,2,17,FALSE
0.3,1,13,5,target,0,2,17,FALSE
0.33,1,14,5,distr1,0,2,17,FALSE
0.33,1,15,5,target,0,2,17,FALSE
0.36,2,0,5,target,1,2,20,FALSE
0.39,2,1,5,target,1,2,20,FALSE
0.42,2,2,5,target,1,2,20,FALSE
0.45,2,3,5,target,1,2,20,FALSE
0.48,2,4,5,target,1,2,17,FALSE
0.51,2,5,5,target,1,2,17,FALSE
0.54,2,6,5,distr0,1,2,17,FALSE
0.54,2,7,5,distr0,1,2,17,FALSE
0.54,2,8,5,target,1,2,20,FALSE
0.57,2,9,5,target,1,2,20,FALSE
0.6,2,10,5,target,1,2,20,FALSE
0.63,2,11,5,target,1,2,20,FALSE
0.66,2,12,5,distr0,1,2,17,FALSE
0.66,2,13,5,target,1,2,17,FALSE
0.69,2,14,5,target,1,2,17,FALSE
0.72,2,15,5,target,1,2,17,FALSE
0.36,3,0,5,target,1,2,18,FALSE
0.39,3,1,5,target,1,2,18,FALSE
0.42,3,2,5,target,1,2,18,FALSE
0.45,3,3,5,target,1,2,18,FALSE
0.48,3,4,5,target,1,2,19,FALSE
0.51,3,5,5,target,1,2,19,FALSE
0.54,3,6,5,target,1,2,19,FALSE
0.57,3,7,5,target,1,2,19,FALSE
0.6,3,8,5,target,1,2,18,FALSE
0.63,3,9,5,target,1,2,18,FALSE
0.66,3,10,5,target,1,2,18,FALSE
0.69,3,11,5,target,1,2,18,FALSE
0.72,3,12,5,target,1,2,19,FALSE
0.75,3,13,5,target,1,2,19,FALSE
0.78,3,14,5,target,1,2,19,FALSE
0.81,3,15,5,target,1,2,19,FALSE
0.75,4,0,5,target,2,2,20,TRUE
0.78,4,1,5,target,2,2,20,TRUE
0.81,4,2,5,target,2,2,20,TRUE
0.84,4,3,5,target,2,2,20,TRUE
0.96,4,4,5,target,2,2,19,TRUE
0.99,4,5,5,target,2,2,19,TRUE
1.02,4,6,5,target,2,2,19,TRUE
1.05,4,7,5,target,2,2,19,TRUE
0.99,4,8,5,target,2,2,20,TRUE
1.02,4,9,5,target,2,2,20,TRUE
1.05,4,10,5,target,2,2,20,TRUE
1.08,4,11,5,target,2,2,20,TRUE
1.2,4,12,5,target,2,2,19,TRUE
1.23,4,13,5,target,2,2,19,TRUE
1.26,4,14,5,target,2,2,19,TRUE
1.29,4,15,5,target,2,2,19,TRUE
0.75,5,0,5,distr0,2,2,17,TRUE
0.75,5,1,5,target,2,2,17,TRUE
0.78,5,2,5,target,2,2,17,TRUE
0.81,5,3,5,target,2,2,17,TRUE
0.93,5,4,5,target,2,2,18,TRUE
0.96,5,5,5,target,2,2,18,TRUE
0.99,5,6,5,target,2,2,18,TRUE
1.02,5,7,5,target,2,2,18,TRUE
0.96,5,8,5,distr2,2,2,17,TRUE
0.96,5,9,5,target,2,2,17,TRUE
0.99,5,10,5,target,2,2,17,TRUE
1.02,5,11,5,target,2,2,17,TRUE
1.14,5,12,5,target,2,2,18,TRUE
1.17,5,13,5,target,2,2,18,TRUE
1.2,5,14,5,target,2,2,18,TRUE
1.23,5,15,5,target,2,2,18,TRUE
0,0,0,6,target,0,0,23,FALSE
0.03,0,1,6,target,0,0,23,FALSE
0.06,0,2,6,target,0,0,23,FALSE
0.09,0,3,6,target,0,0,23,FALSE
0.12,0,4,6,target,0,0,28,FALSE
0.15,0,5,6,target,0,0,28,FALSE
0.18,0,6,6,target,0,0,28,FALSE
0.21,0,7,6,target,0,0,28,FALSE
0.24,0,8,6,target,0,0,23,FALSE
0.27,0,9,6,target,0,0,23,FALSE
0.3,0,10,6,target,0,0,23,FALSE
0.33,0,11,6,target,0,0,23,FALSE
0.36,0,12,6,target,0,0,28,FALSE
0.39,0,13,6,target,0,0,28,FALSE
0.42,0,14,6,target,0,0,28,FALSE
0.45,0,15,6,target,0,0,28,FALSE
0,1,0,6,target,0,0,22,FALSE
0.03,1,1,6,target,0,0,22,FALSE
0.06,1,2,6,target,0,0,22,FALSE
0.09,1,3,6,target,0,0,22,FALSE
0.12,1,4,6,distr1,0,0,21,FALSE
0.12,1,5,6,target,0,0,21,FALSE
0.15,1,6,6,target,0,0,21,FALSE
0.18,1,7,6,target,0,0,21,FALSE
0.21,1,8,6,target,0,0,22,FALSE
0.24,1,9,6,target,0,0,22,FALSE
0.27,1,10,6,target,0,0,22,FALSE
0.3,1,11,6,target,0,0,22,FALSE
0.33,1,12,6,target,0,0,21,FALSE
0.36,1,13,6,target,0,0,21,FALSE
0.39,1,14,6,target,0,0,21,FALSE
0.42,1,15,6,distr1,0,0,21,FALSE
0.42,2,0,6,target,1,0,22,FALSE
0.45,2,1,6,target,1,0,22,FALSE
0.48,2,2,6,target,1,0,22,FALSE
0.51,2,3,6,target,1,0,22,FALSE
0.6,2,4,6,target,1,0,23,FALSE
0.63,2,5,6,target,1,0,23,FALSE
0.66,2,6,6,target,1,0,23,FALSE
0.69,2,7,6,target,1,0,23,FALSE
0.66,2,8,6,target,1,0,22,FALSE
0.69,2,9,6,target,1,0,22,FALSE
0.72,2,10,6,target,1,0,22,FALSE
0.84,2,12,6,target,1,0,23,FALSE
0.75,2,11,6,target,1,0,22,FALSE
0.87,2,13,6,target,1,0,23,FALSE
0.9,2,14,6,target,1,0,23,FALSE
0.93,2,15,6,target,1,0,23,FALSE
0.48,3,0,6,distr0,1,0,28,FALSE
0.48,3,1,6,target,1,0,28,FALSE
0.51,3,2,6,target,1,0,28,FALSE
0.54,3,3,6,target,1,0,28,FALSE
0.51,3,4,6,target,1,0,21,FALSE
0.54,3,5,6,target,1,0,21,FALSE
0.57,3,6,6,target,1,0,21,FALSE
0.6,3,7,6,target,1,0,21,FALSE
0.69,3,8,6,target,1,0,28,FALSE
0.72,3,9,6,target,1,0,28,FALSE
0.75,3,12,6,target,1,0,21,FALSE
0.75,3,10,6,target,1,0,28,FALSE
0.78,3,11,6,target,1,0,28,FALSE
0.78,3,13,6,target,1,0,21,FALSE
0.81,3,14,6,target,1,0,21,FALSE
0.84,3,15,6,target,1,0,21,FALSE
0.99,4,1,6,target,2,0,23,TRUE
0.96,4,0,6,target,2,0,23,TRUE
1.02,4,2,6,target,2,0,23,TRUE
1.02,4,5,6,target,2,0,21,TRUE
1.05,4,3,6,target,2,0,23,TRUE
0.99,4,4,6,target,2,0,21,TRUE
1.05,4,6,6,target,2,0,21,TRUE
1.08,4,7,6,target,2,0,21,TRUE
1.23,4,9,6,target,2,0,23,TRUE
1.26,4,10,6,target,2,0,23,TRUE
1.2,4,8,6,target,2,0,23,TRUE
1.29,4,11,6,target,2,0,23,TRUE
1.23,4,12,6,target,2,0,21,TRUE
1.26,4,13,6,target,2,0,21,TRUE
1.29,4,14,6,target,2,0,21,TRUE
1.32,4,15,6,target,2,0,21,TRUE
0.9,5,0,6,target,2,0,22,TRUE
0.93,5,1,6,target,2,0,22,TRUE
0.96,5,2,6,target,2,0,22,TRUE
0.99,5,3,6,target,2,0,22,TRUE
1.14,5,7,6,target,2,0,28,TRUE
1.14,5,8,6,target,2,0,22,TRUE
1.17,5,9,6,target,2,0,22,TRUE
1.05,5,4,6,target,2,0,28,TRUE
1.08,5,5,6,target,2,0,28,TRUE
1.11,5,6,6,target,2,0,28,TRUE
1.2,5,10,6,target,2,0,22,TRUE
1.29,5,12,6,target,2,0,28,TRUE
1.35,5,14,6,target,2,0,28,TRUE
1.23,5,11,6,target,2,0,22,TRUE
1.32,5,13,6,target,2,0,28,TRUE
1.38,5,15,6,target,2,0,28,TRUE
0,0,0,7,target,0,0,27,FALSE
0.03,0,1,7,target,0,0,27,FALSE
0.06,0,2,7,target,0,0,27,FALSE
0.09,0,3,7,distr0,0,0,27,FALSE
0.09,0,4,7,target,0,0,32,FALSE
0.12,0,5,7,target,0,0,32,FALSE
0.15,0,6,7,target,0,0,32,FALSE
0.18,0,7,7,target,0,0,32,FALSE
0.21,0,8,7,target,0,0,27,FALSE
0.24,0,9,7,target,0,0,27,FALSE
0.27,0,10,7,target,0,0,27,FALSE
0.3,0,11,7,target,0,0,27,FALSE
0.33,0,12,7,target,0,0,32,FALSE
0.36,0,13,7,target,0,0,32,FALSE
0.39,0,14,7,target,0,0,32,FALSE
0.42,0,15,7,target,0,0,32,FALSE
0,1,0,7,target,0,0,26,FALSE
0.03,1,1,7,target,0,0,26,FALSE
0.06,1,2,7,target,0,0,26,FALSE
0.09,1,3,7,target,0,0,26,FALSE
0.12,1,4,7,target,0,0,25,FALSE
0.15,1,5,7,target,0,0,25,FALSE
0.18,1,6,7,target,0,0,25,FALSE
0.21,1,7,7,target,0,0,25,FALSE
0.24,1,8,7,target,0,0,26,FALSE
0.27,1,9,7,target,0,0,26,FALSE
